m,tau_s,allan_variance,allan_deviation,num_pairs,adev_std_approx
1,0.0100000000002183,2.49899939836412e-19,4.99899929822372e-10,999998,4.99900429723051e-13
2,0.0200000000004366,1.25006216384983e-19,3.53562181779928e-10,999996,3.53562888906413e-13
3,0.0300000000006548,8.31179974003597e-20,2.88301920563079e-10,999994,2.88302785472732e-13
4,0.0400000000008731,6.23835437541121e-20,2.49766978910568e-10,999992,2.49767977984478e-13
5,0.0500000000010914,5.00029492237478e-20,2.23613392317517e-10,999990,2.23614510392864e-13
6,0.0600000000013097,4.17065875073042e-20,2.04221907510688e-10,999988,2.04223132853162e-13
7,0.070000000001528,3.57667958842278e-20,1.89121114326846e-10,999986,1.89122438188546e-13
9,0.0900000000019645,2.7880228106938e-20,1.66973734781666e-10,999982,1.66975237565566e-13
10,0.100000000002183,2.5097610989685e-20,1.58422255348436e-10,999980,1.58423839594753e-13
12,0.120000000002619,2.09164579186017e-20,1.44625232648393e-10,999976,1.44626968182424e-13
14,0.140000000003056,1.79158584660136e-20,1.3385013435187e-10,999972,1.33852008293103e-13
16,0.160000000003492,1.56585924348823e-20,1.25134297596152e-10,999968,1.25136299792966e-13
19,0.190000000004147,1.31858953004406e-20,1.14829853698595e-10,999962,1.14832035527997e-13
22,0.220000000004802,1.13959715310853e-20,1.06751915819274e-10,999956,1.06754264438926e-13
26,0.260000000005675,9.64452773131406e-21,9.82065564578764e-11,999948,9.820910992793e-14
30,0.300000000006548,8.3626249029687e-21,9.14473887159644e-11,999940,9.14501322610861e-14
35,0.35000000000764,7.16645755900963e-21,8.46549322780996e-11,999930,8.46578953562918e-14
41,0.410000000008949,6.12244329423097e-21,7.82460433135821e-11,999918,7.82492515986688e-14
48,0.480000000010477,5.25075931147338e-21,7.24621232884697e-11,999904,7.24656017208366e-14
56,0.560000000012224,4.53273440420535e-21,6.73255850639662e-11,999888,6.73293556134589e-14
65,0.650000000014188,3.93912451220733e-21,6.27624450783056e-11,999870,6.27665250350358e-14
76,0.760000000016589,3.4028061811218e-21,5.83335767900598e-11,999848,5.83380106473619e-14
88,0.880000000019209,2.96460961201629e-21,5.44482287316704e-11,999824,5.44530208083621e-14
103,1.03000000002248,2.55933129024394e-21,5.05898338625849e-11,999794,5.05950454206723e-14
120,1.20000000002619,2.21789603600532e-21,4.7094543590583e-11,999760,4.71001959532595e-14
140,1.40000000003056,1.92055892726491e-21,4.38241819919655e-11,999720,4.3830318666176e-14
164,1.6400000000358,1.65481853101347e-21,4.06794608004269e-11,999672,4.0686133873619e-14
191,1.91000000004169,1.43041756088637e-21,3.78208614508761e-11,999618,3.78280873056866e-14
223,2.23000000004868,1.23559168208089e-21,3.51509840841033e-11,999554,3.51588253765639e-14
260,2.60000000005675,1.07309173422369e-21,3.27580789153408e-11,999480,3.2766599338968e-14
304,3.04000000006636,9.35314975555478e-22,3.05829196702257e-11,999392,3.05922211194813e-14
355,3.55000000007749,8.18957990986941e-22,2.86174420762398e-11,999290,2.86276066811493e-14
414,4.14000000009037,7.19987643773704e-22,2.68325854843268e-11,999172,2.68437010779774e-14
483,4.83000000010543,6.31087041515967e-22,2.51214458484373e-11,999034,2.51335883047002e-14
564,5.64000000012311,5.51940206590857e-22,2.34934077262294e-11,998872,2.35066692284731e-14
658,6.58000000014363,4.84980035546678e-22,2.20222622713171e-11,998684,2.20367672378647e-14
768,7.68000000016764,4.27862251173228e-22,2.06848314272374e-11,998464,2.07007357018448e-14
896,8.96000000019558,3.81398325664431e-22,1.95294220514697e-11,998208,1.95469439666016e-14
1046,10.4600000002283,3.42859369864368e-22,1.85164621314215e-11,997908,1.85358607926221e-14
1221,12.2100000002665,3.11125905581834e-22,1.7638761452603e-11,997558,1.7660337905662e-14
1425,14.250000000311,2.84836753961376e-22,1.68771073931932e-11,997150,1.69012088002387e-14
1663,16.630000000363,2.64385121887578e-22,1.62599237971024e-11,996674,1.62870316897887e-14
1941,19.4100000004237,2.49450412736913e-22,1.57939992635467e-11,996118,1.58247449612308e-14
2265,22.6500000004944,2.39299952314585e-22,1.54693229429922e-11,995470,1.55044804522898e-14
2644,26.4400000005771,2.35161786220729e-22,1.53349856935287e-11,994712,1.53756929118624e-14
3085,30.8500000006734,2.35509262914536e-22,1.53463110523192e-11,993830,1.53938746359176e-14
3601,36.010000000786,2.39833586347041e-22,1.54865614759068e-11,992798,1.554263162914e-14
4202,42.0200000009172,2.44798279149488e-22,1.56460307793858e-11,991596,1.57121927126721e-14
4904,49.0400000010704,2.48888881515286e-22,1.57762125212386e-11,990192,1.58541528675435e-14
5724,57.2400000012494,2.4919913142209e-22,1.5786042297615e-11,988552,1.58771849050109e-14
6680,66.8000000014581,2.46632251264976e-22,1.57045296416345e-11,986640,1.58104989017409e-14
7796,77.9600000017017,2.44819973888297e-22,1.5646724062509e-11,984408,1.5770151170062e-14
9099,90.9900000019861,2.4573591174318e-22,1.56759660545428e-11,981802,1.58205784324414e-14
10619,106.190000002318,2.53256932154912e-22,1.59140482641882e-11,978762,1.60857798628259e-14
12394,123.940000002705,2.69149990984337e-22,1.64057913854936e-11,975212,1.66129847527958e-14
14464,144.640000003157,2.91779906792826e-22,1.70815662862873e-11,971072,1.73341270227644e-14
16881,168.810000003685,3.18342423558852e-22,1.78421529967336e-11,966238,1.81511941638038e-14
19702,197.020000004301,3.47405198975186e-22,1.86388089473331e-11,960596,1.90172523664422e-14
22994,229.940000005019,3.77596279595962e-22,1.94318367530185e-11,954012,1.98946789241163e-14
26835,268.350000005858,4.07529363835521e-22,2.01873565341161e-11,946330,2.07519135367567e-14
31319,313.190000006836,4.36400238898779e-22,2.08901948027963e-11,937362,2.15768885361769e-14
36552,365.520000007979,4.72045021931321e-22,2.17265971088738e-11,926896,2.25671235735589e-14
42659,426.590000009312,5.16126063925907e-22,2.27184080411878e-11,914682,2.37543323916814e-14
49787,497.870000010867,5.79408044209694e-22,2.40708962070317e-11,900426,2.53669496440744e-14
58105,581.050000012683,6.74644054771476e-22,2.59739110411096e-11,883790,2.76288499083134e-14
67814,678.140000014802,8.08323287941822e-22,2.8431026853454e-11,864372,3.05803323088695e-14
79144,791.440000017275,9.75786318167107e-22,3.12375786220236e-11,841712,3.404831332315e-14
92368,923.680000020162,1.18678483661175e-21,3.44497436363719e-11,815264,3.81537176694863e-14
107801,1078.01000002353,1.44386220528642e-21,3.79981868684076e-11,784398,4.29036889518256e-14
125813,1258.13000002746,1.77134740134083e-21,4.20873781713809e-11,748374,4.86510846240987e-14
146834,1468.34000003205,2.18584248284303e-21,4.67529943730135e-11,706332,5.56294786875532e-14
171367,1713.67000003741,2.61844397832709e-21,5.11707336113827e-11,657266,6.31176847270199e-14
200000,2000.00000004366,2.94768359058042e-21,5.42925739911124e-11,600000,7.00914116301041e-14
