m,tau_s,adev,avar,sample_count_used
1,0.0100000000002183,4.99899929822372e-10,2.49899939836412e-19,999998
2,0.0200000000004366,3.53562181779928e-10,1.25006216384983e-19,999996
3,0.0300000000006548,2.88301920563079e-10,8.31179974003597e-20,999994
4,0.0400000000008731,2.49766978910568e-10,6.23835437541121e-20,999992
5,0.0500000000010914,2.23613392317517e-10,5.00029492237478e-20,999990
6,0.0600000000013097,2.04221907510688e-10,4.17065875073042e-20,999988
7,0.070000000001528,1.89121114326846e-10,3.57667958842278e-20,999986
8,0.0800000000017462,1.77002916334289e-10,3.13300323908434e-20,999984
9,0.0900000000019645,1.66973734781666e-10,2.7880228106938e-20,999982
10,0.100000000002183,1.58422255348436e-10,2.5097610989685e-20,999980
12,0.120000000002619,1.44625232648393e-10,2.09164579186017e-20,999976
14,0.140000000003056,1.3385013435187e-10,1.79158584660136e-20,999972
16,0.160000000003492,1.25134297596152e-10,1.56585924348823e-20,999968
18,0.180000000003929,1.17962454406925e-10,1.3915140649706e-20,999964
21,0.210000000004584,1.09252350538932e-10,1.19360760982817e-20,999958
25,0.250000000005457,1.00161394010541e-10,1.00323048501349e-20,999950
29,0.29000000000633,9.29971738584312e-11,8.64847434565528e-21,999942
33,0.330000000007203,8.71909957433332e-11,7.60226973871395e-21,999934
38,0.380000000008295,8.12552450037671e-11,6.60241484062222e-21,999924
44,0.440000000009604,7.55780919153679e-11,5.71204797756781e-21,999912
51,0.510000000011132,7.03770938198698e-11,4.95293533453076e-21,999898
59,0.590000000012878,6.56782802270441e-11,4.31363649358214e-21,999882
68,0.680000000014843,6.14507951230186e-11,3.77620022125121e-21,999864
79,0.790000000017244,5.7286613316322e-11,3.2817560652538e-21,999842
92,0.920000000020082,5.33206131036194e-11,2.84308778174587e-21,999816
106,1.06000000002314,4.99101150327898e-11,2.49101958258631e-21,999788
123,1.23000000002685,4.65551140540784e-11,2.16737864458825e-21,999754
142,1.420000000031,4.35340090790024e-11,1.89520994649067e-21,999716
164,1.6400000000358,4.06794608004269e-11,1.65481853101347e-21,999672
190,1.90000000004147,3.79165336927191e-11,1.43766352727111e-21,999620
220,2.20000000004802,3.53762107770835e-11,1.25147628894464e-21,999560
254,2.54000000005544,3.31110249270522e-11,1.09633997171987e-21,999492
294,2.94000000006417,3.10248198194436e-11,9.62539444828939e-22,999412
340,3.40000000007421,2.91366519618547e-11,8.48944487546249e-22,999320
393,3.93000000008578,2.74289989892557e-11,7.52349985552588e-22,999214
455,4.55000000009932,2.57795707329022e-11,6.64586267172705e-22,999090
527,5.27000000011503,2.41886247739919e-11,5.85089568456977e-22,998946
609,6.09000000013293,2.27342857137773e-11,5.16847746915658e-22,998782
705,7.05000000015389,2.14035764541048e-11,4.58113085026711e-22,998590
815,8.1500000001779,2.02256717487506e-11,4.09077797688207e-22,998370
943,9.43000000020584,1.9180499758921e-11,3.6789157100197e-22,998114
1091,10.9100000002381,1.82696694788645e-11,3.33780822866955e-22,997818
1263,12.6300000002757,1.74507869013372e-11,3.04529963475881e-22,997474
1461,14.6100000003189,1.67731760393888e-11,2.81339434448328e-22,997078
1690,16.9000000003689,1.62028891212641e-11,2.6253361587598e-22,996620
1955,19.5500000004267,1.57766242119968e-11,2.48901871526564e-22,996090
2262,22.6200000004937,1.54714681069857e-11,2.39366325385477e-22,995476
2616,26.160000000571,1.53387149947618e-11,2.35276177690529e-22,994768
3027,30.2700000006607,1.53356176371436e-11,2.35181168312671e-22,993946
3502,35.0200000007644,1.54553889489357e-11,2.38869047562884e-22,992996
4051,40.5100000008842,1.56078211116597e-11,2.4360407985357e-22,991898
4687,46.8700000010231,1.57548473404323e-11,2.48215214720327e-22,990626
5422,54.2200000011835,1.57927002043173e-11,2.49409379743445e-22,989156
6273,62.7300000013693,1.57385270459375e-11,2.47701233575706e-22,987454
7257,72.570000001584,1.56682404734862e-11,2.45493759534991e-22,985486
8396,83.9600000018327,1.56455335681844e-11,2.44782720633185e-22,983208
9713,97.1300000021201,1.57425933534541e-11,2.47829245492218e-22,980574
11236,112.360000002453,1.60652112620228e-11,2.58091012893425e-22,977528
12999,129.990000002837,1.66007096708594e-11,2.75583561576163e-22,974002
15039,150.390000003283,1.72721314470399e-11,2.98326524723826e-22,969922
17398,173.980000003798,1.79912429145735e-11,3.2368482161119e-22,965204
20128,201.280000004394,1.87506976016445e-11,3.51588660548318e-22,959744
23285,232.850000005083,1.94952793938754e-11,3.80065918645262e-22,953430
26939,269.39000000588,2.02049174620072e-11,4.08238689646525e-22,946122
31165,311.650000006803,2.08666595988929e-11,4.35417482816071e-22,937670
36054,360.54000000787,2.16436785229216e-11,4.68448820003577e-22,927892
41711,417.110000009105,2.25583213456008e-11,5.08877861931391e-22,916578
48255,482.550000010533,2.37511065063751e-11,5.64115060277172e-22,903490
55825,558.250000012185,2.54269521727541e-11,6.46529896795523e-22,888350
64584,645.840000014097,2.76003764420696e-11,7.61780779743949e-22,870832
74716,747.160000016309,3.0149418818918e-11,9.08987455118529e-22,850568
86438,864.380000018868,3.30246558879581e-11,1.09062789651805e-21,827124
99999,999.990000021828,3.62273650203777e-11,1.31242197631968e-21,800002
