m,tau_s,allan_variance,allan_deviation,num_pairs,adev_std_approx
1,0.0100000000002183,1.2453922158257e-18,1.11597142249508e-09,999998,1.11597253846818e-12
2,0.0200000000004366,3.74846779916768e-19,6.12247319240164e-10,999996,6.12248543738476e-13
3,0.0300000000006548,1.9464421725333e-19,4.41185014765155e-10,999994,4.41186338326155e-13
4,0.0400000000008731,1.2497548227661e-19,3.53518715595949e-10,999992,3.53520129679296e-13
5,0.0500000000010914,9.00000691594402e-20,3.00000115265711e-10,999990,3.00001615277538e-13
6,0.0600000000013097,6.94898586536623e-20,2.6360929166792e-10,999988,2.63610873337905e-13
7,0.070000000001528,5.62201933311911e-20,2.37107978210753e-10,999986,2.37109637984029e-13
9,0.0900000000019645,4.02474890882811e-20,2.00617768625516e-10,999982,2.00619574209809e-13
10,0.100000000002183,3.51354175535818e-20,1.8744443857736e-10,999980,1.87446313049863e-13
12,0.120000000002619,2.78828177019273e-20,1.66981489099622e-10,999976,1.6698349291356e-13
14,0.140000000003056,2.30255424226032e-20,1.51741696387655e-10,999972,1.51743820816017e-13
16,0.160000000003492,1.95722943067167e-20,1.39901016103232e-10,999968,1.39903254573213e-13
19,0.190000000004147,1.59585370256154e-20,1.26327103289893e-10,999962,1.26329503573264e-13
22,0.220000000004802,1.34667695856064e-20,1.16046411343076e-10,999956,1.16048964448378e-13
26,0.260000000005675,1.11405011263116e-20,1.0554857235563e-10,999948,1.05551316725542e-13
30,0.300000000006548,9.48644766691982e-21,9.73983966342353e-11,999940,9.74013187176287e-14
35,0.35000000000764,7.9977266140142e-21,8.94300095829929e-11,999930,8.94331397976655e-14
41,0.410000000008949,6.72775864691889e-21,8.2022915376856e-11,999918,8.20262785232214e-14
48,0.480000000010477,5.68880655124728e-21,7.54241774979832e-11,999904,7.54277981191899e-14
56,0.560000000012224,4.85629163047923e-21,6.96870980202163e-11,999888,6.96910008255441e-14
65,0.650000000014188,4.17991358132883e-21,6.46522511698458e-11,999870,6.46564539759499e-14
76,0.760000000016589,3.57717979394839e-21,5.98095292904767e-11,999848,5.98140753329581e-14
88,0.880000000019209,3.09508699999846e-21,5.56335060911899e-11,999824,5.56384024860595e-14
103,1.03000000002248,2.65355954507882e-21,5.15127124608948e-11,999794,5.15180190901665e-14
120,1.20000000002619,2.28779205011199e-21,4.78308692176087e-11,999760,4.78366099552682e-14
140,1.40000000003056,1.97158352387469e-21,4.44025170894026e-11,999720,4.44087347475338e-14
164,1.6400000000358,1.69247997222193e-21,4.11397614507173e-11,999672,4.11465100317916e-14
191,1.91000000004169,1.45821679880612e-21,3.81866049656961e-11,999618,3.81939006975382e-14
