1.000000000000E+0,	1.000000000000E-2,	1.245391435742E-18,	1.115971072986E-9,	9.999980000000E+5,
2.000000000000E+0,	2.000000000000E-2,	3.748464502538E-19,	6.122470500164E-10,	9.999960000000E+5,
3.000000000000E+0,	3.000000000000E-2,	1.946440610430E-19,	4.411848377302E-10,	9.999940000000E+5,
4.000000000000E+0,	4.000000000000E-2,	1.249756365028E-19,	3.535189337260E-10,	9.999920000000E+5,
5.000000000000E+0,	5.000000000000E-2,	9.000003849771E-20,	3.000000641628E-10,	9.999900000000E+5,
6.000000000000E+0,	6.000000000000E-2,	6.948985561727E-20,	2.636092859086E-10,	9.999880000000E+5,
7.000000000000E+0,	7.000000000000E-2,	5.622023191464E-20,	2.371080595733E-10,	9.999860000000E+5,
8.000000000000E+0,	8.000000000000E-2,	4.700753113585E-20,	2.168122024607E-10,	9.999840000000E+5,
1.000000000000E+1,	1.000000000000E-1,	3.513542003141E-20,	1.874444451869E-10,	9.999800000000E+5,
1.200000000000E+1,	1.200000000000E-1,	2.788281893431E-20,	1.669814927898E-10,	9.999760000000E+5,
1.400000000000E+1,	1.400000000000E-1,	2.302553560614E-20,	1.517416739269E-10,	9.999720000000E+5,
1.700000000000E+1,	1.700000000000E-1,	1.819585764048E-20,	1.348920221528E-10,	9.999660000000E+5,
2.100000000000E+1,	2.100000000000E-1,	1.420555585614E-20,	1.191870624529E-10,	9.999580000000E+5,
2.600000000000E+1,	2.600000000000E-1,	1.114050258727E-20,	1.055485792764E-10,	9.999480000000E+5,
3.100000000000E+1,	3.100000000000E-1,	9.151378583142E-21,	9.566283804666E-11,	9.999380000000E+5,
3.700000000000E+1,	3.700000000000E-1,	7.523170325991E-21,	8.673621115769E-11,	9.999260000000E+5,
4.500000000000E+1,	4.500000000000E-1,	6.090139063356E-21,	7.803934304795E-11,	9.999100000000E+5,
5.500000000000E+1,	5.500000000000E-1,	4.944276658592E-21,	7.031555061714E-11,	9.998900000000E+5,
6.600000000000E+1,	6.600000000000E-1,	4.115319775037E-21,	6.415075817975E-11,	9.998680000000E+5,
8.000000000000E+1,	8.000000000000E-1,	3.401095274425E-21,	5.831891009291E-11,	9.998400000000E+5,
9.700000000000E+1,	9.700000000000E-1,	2.813776554598E-21,	5.304504269579E-11,	9.998060000000E+5,
1.180000000000E+2,	1.180000000000E+0,	2.325116096310E-21,	4.821945765259E-11,	9.997640000000E+5,
1.420000000000E+2,	1.420000000000E+0,	1.944501597899E-21,	4.409650323890E-11,	9.997160000000E+5,
1.720000000000E+2,	1.720000000000E+0,	1.616166708311E-21,	4.020157594313E-11,	9.996560000000E+5,
2.090000000000E+2,	2.090000000000E+0,	1.336585442844E-21,	3.655934138964E-11,	9.995820000000E+5,
2.520000000000E+2,	2.520000000000E+0,	1.120436146727E-21,	3.347291661519E-11,	9.994960000000E+5,
3.050000000000E+2,	3.050000000000E+0,	9.436316495878E-22,	3.071858801423E-11,	9.993900000000E+5,
3.700000000000E+2,	3.700000000000E+0,	7.985241119817E-22,	2.825816894248E-11,	9.992600000000E+5,
4.470000000000E+2,	4.470000000000E+0,	6.796752820895E-22,	2.607058269563E-11,	9.991060000000E+5,
5.410000000000E+2,	5.410000000000E+0,	5.753817269981E-22,	2.398711585410E-11,	9.989180000000E+5,
6.550000000000E+2,	6.550000000000E+0,	4.890841842542E-22,	2.211524777736E-11,	9.986900000000E+5,
7.930000000000E+2,	7.930000000000E+0,	4.191327899023E-22,	2.047273283913E-11,	9.984140000000E+5,
9.590000000000E+2,	9.590000000000E+0,	3.647587416433E-22,	1.909865811106E-11,	9.980820000000E+5,
1.161000000000E+3,	1.161000000000E+1,	3.216932169659E-22,	1.793580823286E-11,	9.976780000000E+5,
1.404000000000E+3,	1.404000000000E+1,	2.874653989183E-22,	1.695480459688E-11,	9.971920000000E+5,
1.699000000000E+3,	1.699000000000E+1,	2.622834124830E-22,	1.619516633082E-11,	9.966020000000E+5,
2.057000000000E+3,	2.057000000000E+1,	2.455714342904E-22,	1.567071901000E-11,	9.958860000000E+5,
2.489000000000E+3,	2.489000000000E+1,	2.362759503092E-22,	1.537127028938E-11,	9.950220000000E+5,
3.012000000000E+3,	3.012000000000E+1,	2.352485774019E-22,	1.533781527473E-11,	9.939760000000E+5,
3.644000000000E+3,	3.644000000000E+1,	2.403643396968E-22,	1.550368793858E-11,	9.927120000000E+5,
4.410000000000E+3,	4.410000000000E+1,	2.466334321532E-22,	1.570456723865E-11,	9.911800000000E+5,
5.337000000000E+3,	5.337000000000E+1,	2.494708479440E-22,	1.579464617977E-11,	9.893260000000E+5,
6.458000000000E+3,	6.458000000000E+1,	2.472307353234E-22,	1.572357260051E-11,	9.870840000000E+5,
7.815000000000E+3,	7.815000000000E+1,	2.448341365825E-22,	1.564717663294E-11,	9.843700000000E+5,
9.457000000000E+3,	9.457000000000E+1,	2.467778775503E-22,	1.570916539955E-11,	9.810860000000E+5,
1.144500000000E+4,	1.144500000000E+2,	2.598888444965E-22,	1.612106834228E-11,	9.771100000000E+5,
1.384900000000E+4,	1.384900000000E+2,	2.848578621675E-22,	1.687773273184E-11,	9.723020000000E+5,
1.675900000000E+4,	1.675900000000E+2,	3.170860451984E-22,	1.780691004072E-11,	9.664820000000E+5,
2.028100000000E+4,	2.028100000000E+2,	3.530689558254E-22,	1.879012921258E-11,	9.594380000000E+5,
2.454200000000E+4,	2.454200000000E+2,	3.903941656568E-22,	1.975839481478E-11,	9.509160000000E+5,
2.969900000000E+4,	2.969900000000E+2,	4.261746787991E-22,	2.064399861459E-11,	9.406020000000E+5,
3.594000000000E+4,	3.594000000000E+2,	4.676265432951E-22,	2.162467440900E-11,	9.281200000000E+5,
4.349100000000E+4,	4.349100000000E+2,	5.226667820833E-22,	2.286190679019E-11,	9.130180000000E+5,
5.263000000000E+4,	5.263000000000E+2,	6.096768865205E-22,	2.469163596282E-11,	8.947400000000E+5,
6.368800000000E+4,	6.368800000000E+2,	7.490870462320E-22,	2.736945462065E-11,	8.726240000000E+5,
7.707000000000E+4,	7.707000000000E+2,	9.440907867210E-22,	3.072606038400E-11,	8.458600000000E+5,
9.326400000000E+4,	9.326400000000E+2,	1.201360917645E-21,	3.466065373943E-11,	8.134720000000E+5,
1.128610000000E+5,	1.128610000000E+3,	1.532549610961E-21,	3.914779190402E-11,	7.742780000000E+5,
1.365760000000E+5,	1.365760000000E+3,	1.980995453087E-21,	4.450837508927E-11,	7.268480000000E+5,
1.652730000000E+5,	1.652730000000E+3,	2.523121474291E-21,	5.023068259830E-11,	6.694540000000E+5,
2.000000000000E+5,	2.000000000000E+3,	2.947688866316E-21,	5.429262257725E-11,	6.000000000000E+5,
