sample_index,time_s,time_error_s
0,0,-2.99462142119301e-12
100,1,-2.42295020993459e-11
200,2,-6.2576350908857e-11
300,3,-5.4964863330741e-11
400,4,-4.77884693931561e-11
500,5,-9.90907985510386e-11
600,6,-7.46306191559426e-11
700,7,-1.599732654475e-10
800,8,-1.1512074889304e-10
900,9,-2.53518696466479e-10
1000,10,-2.31284131175254e-10
1100,11,-1.90234338352793e-10
1200,12,-1.71627400661258e-10
1300,13,-2.24012444053696e-10
1400,14,-2.20897016947954e-10
1500,15,-1.54906353348574e-10
1600,16,-1.54316965535655e-10
1700,17,-1.25262428645808e-10
1800,18,-1.18409833084772e-10
1900,19,-9.24343303193247e-11
2000,20,-1.20724167081777e-10
2100,21,-7.09543662857577e-11
2200,22,-2.49453334150759e-11
2300,23,-7.89919957164764e-11
2400,24,-1.56164971241147e-10
2500,25,-1.06048100629418e-10
2600,26,-1.0269899544617e-10
2700,27,-2.05235505447458e-10
2800,28,-2.15337710442528e-10
2900,29,-1.63540805909515e-10
3000,30,-2.40157961673901e-10
3100,31,-2.85311546993808e-10
3200,32,-3.4314394129215e-10
3300,33,-3.38005750228528e-10
3400,34,-2.9019220765725e-10
3500,35,-2.62828722881411e-10
3600,36,-3.64805092816968e-10
3700,37,-3.57073556926355e-10
3800,38,-3.95164313780038e-10
3900,39,-4.73771100932641e-10
4000,40,-4.59361184014557e-10
4100,41,-4.73688298977273e-10
4200,42,-4.97287824682828e-10
4300,43,-5.19222680533223e-10
4400,44,-5.46051014617294e-10
4500,45,-4.87580159909109e-10
4600,46,-4.35954927010546e-10
4700,47,-4.57594053255952e-10
4800,48,-5.47259990727521e-10
4900,49,-5.03616704186573e-10
5000,50,-5.56972256229112e-10
5100,51,-5.39845263720544e-10
5200,52,-5.11627196590909e-10
5300,53,-4.83975811106759e-10
5400,54,-5.12390204038035e-10
5500,55,-4.73005637996246e-10
5600,56,-5.35850868938838e-10
5700,57,-4.68462948021038e-10
5800,58,-4.74770294955883e-10
5900,59,-5.31682967585077e-10
6000,60,-5.70763440582656e-10
6100,61,-6.62742421078348e-10
6200,62,-6.61156019859478e-10
6300,63,-6.31546441332163e-10
6400,64,-6.39694206997181e-10
6500,65,-6.25595804014106e-10
6600,66,-6.6497310623896e-10
6700,67,-5.93539589579977e-10
6800,68,-6.33937258443938e-10
6900,69,-6.50602244783837e-10
7000,70,-6.38449226652212e-10
7100,71,-6.66581756196213e-10
7200,72,-6.35216630305663e-10
7300,73,-7.30712978179911e-10
7400,74,-7.03929076415872e-10
7500,75,-6.62450439085201e-10
7600,76,-6.8467058519656e-10
7700,77,-7.68629129236277e-10
7800,78,-7.61378897712311e-10
7900,79,-8.08413890479019e-10
8000,80,-8.19495315952316e-10
8100,81,-8.77813396842083e-10
8200,82,-8.90591811242396e-10
8300,83,-8.82423169058116e-10
8400,84,-7.67979897986032e-10
8500,85,-8.5086688139029e-10
8600,86,-9.00242753059867e-10
8700,87,-9.23886167399673e-10
8800,88,-9.03720038805057e-10
8900,89,-9.55969265292364e-10
9000,90,-8.32887436520691e-10
9100,91,-8.5307351795663e-10
9200,92,-8.19532795688929e-10
9300,93,-8.03415270541406e-10
9400,94,-8.17507680516019e-10
9500,95,-9.22069606974013e-10
9600,96,-8.75443030120845e-10
9700,97,-9.08985309812315e-10
9800,98,-8.79487225680987e-10
9900,99,-8.81213842259401e-10
10000,100,-8.66372051660435e-10
10100,101,-8.67285966002899e-10
10200,102,-8.05678728370628e-10
10300,103,-7.89958080231533e-10
10400,104,-6.88966438152068e-10
10500,105,-7.46852494981727e-10
10600,106,-7.4288109180598e-10
10700,107,-7.93388870308855e-10
10800,108,-7.20042839847031e-10
10900,109,-6.70885662644585e-10
11000,110,-6.09714789985935e-10
11100,111,-6.4456839880346e-10
11200,112,-6.11159364419642e-10
11300,113,-5.73521813062712e-10
11400,114,-5.50081411492364e-10
11500,115,-6.41046671449727e-10
11600,116,-5.84528141023089e-10
11700,117,-5.89651159077053e-10
11800,118,-5.14830840596405e-10
11900,119,-5.32519876633491e-10
12000,120,-4.89777511820893e-10
12100,121,-4.5394508258348e-10
12200,122,-4.84250529817768e-10
12300,123,-4.54436673130247e-10
12400,124,-4.28006816957943e-10
12500,125,-4.7038811624622e-10
12600,126,-4.92920863175407e-10
12700,127,-4.35288638154921e-10
12800,128,-4.00490583270686e-10
12900,129,-4.5243798096878e-10
13000,130,-4.35094357182584e-10
13100,131,-4.79430163027632e-10
13200,132,-4.69145551333827e-10
13300,133,-5.69707115870024e-10
13400,134,-5.54173734562902e-10
13500,135,-5.58822205011293e-10
13600,136,-5.69546371922314e-10
13700,137,-5.66711917431548e-10
13800,138,-5.5249353045671e-10
13900,139,-5.88475072909729e-10
14000,140,-6.34759331831726e-10
14100,141,-6.3960495990959e-10
14200,142,-6.15028245440873e-10
14300,143,-5.87750573918721e-10
14400,144,-5.67449390329773e-10
14500,145,-5.47593995964695e-10
14600,146,-5.65044240989978e-10
14700,147,-5.3580205033277e-10
14800,148,-5.36827328238345e-10
14900,149,-5.97555711686581e-10
15000,150,-4.81307141081229e-10
15100,151,-4.11461219839466e-10
15200,152,-3.46954423514589e-10
15300,153,-2.80423584033276e-10
15400,154,-2.4381025903523e-10
15500,155,-2.63676088394278e-10
15600,156,-3.30642656956366e-10
15700,157,-1.96509419991807e-10
15800,158,-1.43098608681504e-10
15900,159,-2.8728369659946e-11
16000,160,3.66770238436019e-11
16100,161,6.58614883318683e-11
16200,162,1.04909917969521e-10
16300,163,1.24967641086126e-10
16400,164,2.0296179625756e-10
16500,165,2.68414634883499e-10
16600,166,3.27745100625722e-10
16700,167,3.5161633053993e-10
16800,168,4.47413768747993e-10
16900,169,4.75071295334623e-10
17000,170,5.03067224030792e-10
17100,171,5.15097188088387e-10
17200,172,6.3500081721502e-10
17300,173,6.80613897115274e-10
17400,174,6.40472096778835e-10
17500,175,6.55780884553499e-10
17600,176,6.64839545825311e-10
17700,177,8.0370343244554e-10
17800,178,8.20868614501996e-10
17900,179,7.60880680418648e-10
18000,180,8.15107474418173e-10
18100,181,8.45500214909823e-10
18200,182,8.65360775247129e-10
18300,183,9.81012602238915e-10
18400,184,1.09117925279182e-09
18500,185,1.11265303487013e-09
18600,186,1.05815196152726e-09
18700,187,1.01863436095844e-09
18800,188,1.05794641539266e-09
18900,189,1.09997003022771e-09
19000,190,1.18351390595731e-09
19100,191,1.15947339466464e-09
19200,192,1.13229499047624e-09
19300,193,1.12124039037098e-09
19400,194,1.21038091243199e-09
19500,195,1.19130040785723e-09
19600,196,1.18821581881008e-09
19700,197,1.24732506972931e-09
19800,198,1.28502394042771e-09
19900,199,1.32162771473048e-09
20000,200,1.38070964406549e-09
20100,201,1.38894551746117e-09
20200,202,1.45120144832544e-09
20300,203,1.57433379471063e-09
20400,204,1.66151612834813e-09
20500,205,1.73482704811646e-09
20600,206,1.74911390026128e-09
20700,207,1.71884242477158e-09
20800,208,1.70585653566145e-09
20900,209,1.71196377987154e-09
21000,210,1.7639257085136e-09
21100,211,1.7360947252743e-09
21200,212,1.75848280356673e-09
21300,213,1.81803083722313e-09
21400,214,1.82450703765763e-09
21500,215,1.92464179760885e-09
21600,216,2.03460517927823e-09
21700,217,2.12931992358718e-09
21800,218,2.26225415089237e-09
