sample_index,time_s,time_error_s
0,0,-2.99462142119301e-12
1,0.01,1.10806052827309e-12
2,0.02,5.9345744264046e-12
3,0.03,7.58085023386436e-12
4,0.04,2.8200247136006e-12
5,0.05,3.05360885318054e-13
6,0.06,-6.03107501767436e-12
7,0.07,-1.51475245157063e-12
8,0.08,-5.54710210531792e-13
9,0.09,3.47080423180549e-12
10,0.1,4.11049556805111e-13
11,0.11,9.60633104613925e-12
12,0.12,1.8796166918171e-11
13,0.13,1.8162814729591e-11
14,0.14,1.27411666323266e-11
15,0.15,9.48163092097392e-12
16,0.16,9.4270238672886e-12
17,0.17,9.10512150813005e-12
18,0.18,5.78496695253523e-12
19,0.19,7.27299718880212e-12
20,0.2,5.35327051831427e-12
21,0.21,-8.92481553720191e-13
22,0.22,-2.19512024235256e-12
23,0.23,-2.53376896454994e-12
24,0.24,2.34461526119118e-12
25,0.25,-1.75629504243848e-12
26,0.26,-1.57360830623119e-12
27,0.27,-2.97557146408323e-13
28,0.28,-1.1103834040765e-11
29,0.29,-9.27254700304546e-12
30,0.3,-1.43245666318462e-11
31,0.31,-1.62642314810284e-11
32,0.32,-4.03605681165173e-12
33,0.33,3.48968283471655e-12
34,0.34,7.48523644033485e-12
35,0.35,6.4870722705018e-12
36,0.36,1.81015582371714e-12
37,0.37,3.57125289081433e-12
38,0.38,2.69226866991635e-12
39,0.39,-3.76135932377424e-12
40,0.4,-3.93975602857954e-12
41,0.41,-8.29766475075328e-12
42,0.42,-2.91759615125364e-12
43,0.43,-5.22771556152959e-12
44,0.44,-2.21125634066285e-12
45,0.45,-4.78110990569419e-12
46,0.46,-4.53212922154713e-12
47,0.47,-3.75156479719603e-12
48,0.48,-5.35848694750006e-12
49,0.49,5.53744043761103e-12
50,0.5,9.6942623416956e-12
51,0.51,1.57650454920617e-11
52,0.52,2.6237110020875e-11
53,0.53,2.8025618556349e-11
54,0.54,3.32870310834036e-11
55,0.55,2.66483823912455e-11
56,0.56,2.18808773643969e-11
57,0.57,8.61738036185985e-12
58,0.58,4.72792324106107e-12
59,0.59,2.70978627357302e-12
60,0.6,-9.65505826635094e-13
61,0.61,4.49281402383727e-12
62,0.62,2.41064991037885e-13
63,0.63,-3.51775391903525e-12
64,0.64,-2.9637759340399e-12
65,0.65,-7.13012433688457e-12
66,0.66,-4.25819620814858e-12
67,0.67,-5.80702850758007e-12
68,0.68,1.11478911433072e-12
69,0.69,4.53054820264007e-12
70,0.7,8.80138962622797e-13
71,0.71,4.82500901597152e-12
72,0.72,9.66357035948193e-12
73,0.73,1.41706611450507e-11
74,0.74,2.66185336698935e-12
75,0.75,-1.56325000474294e-13
76,0.76,-1.02345041940558e-11
77,0.77,-1.82834326634035e-12
78,0.78,-7.86441468682665e-14
79,0.79,-1.42962031973986e-12
80,0.8,-7.15478095561965e-12
81,0.81,-1.06757607886028e-11
